x,y,row,col,spot_id,radius
803.21875,3.9375,0,8,0x8,27.5
903.21875,3.9375,0,9,0x9,27.5
1103.2188,3.9375,0,11,0x11,27.5
1303.2188,3.9375,0,13,0x13,27.5
453.21875,90.54004037844386,1,4,1x4,27.5
653.21875,90.54004037844386,1,6,1x6,27.5
853.21875,90.54004037844386,1,8,1x8,27.5
953.21875,90.54004037844386,1,9,1x9,27.5
1153.2188,90.54004037844386,1,11,1x11,27.5
1253.2188,90.54004037844386,1,12,1x12,27.5
1353.2188,90.54004037844386,1,13,1x13,27.5
1753.2188,90.54004037844386,1,17,1x17,27.5
803.21875,177.14258075688772,2,8,2x8,27.5
903.21875,177.14258075688772,2,9,2x9,27.5
1003.21875,177.14258075688772,2,10,2x10,27.5
1103.2188,177.14258075688772,2,11,2x11,27.5
1203.2188,177.14258075688772,2,12,2x12,27.5
1303.2188,177.14258075688772,2,13,2x13,27.5
253.21875,263.7451211353316,3,2,3x2,27.5
653.21875,263.7451211353316,3,6,3x6,27.5
753.21875,263.7451211353316,3,7,3x7,27.5
853.21875,263.7451211353316,3,8,3x8,27.5
953.21875,263.7451211353316,3,9,3x9,27.5
1053.2188,263.7451211353316,3,10,3x10,27.5
1153.2188,263.7451211353316,3,11,3x11,27.5
1253.2188,263.7451211353316,3,12,3x12,27.5
1353.2188,263.7451211353316,3,13,3x13,27.5
1453.2188,263.7451211353316,3,14,3x14,27.5
1553.2188,263.7451211353316,3,15,3x15,27.5
1653.2188,263.7451211353316,3,16,3x16,27.5
303.21875,350.34766151377545,4,3,4x3,27.5
403.21875,350.34766151377545,4,4,4x4,27.5
503.21875,350.34766151377545,4,5,4x5,27.5
603.21875,350.34766151377545,4,6,4x6,27.5
703.21875,350.34766151377545,4,7,4x7,27.5
803.21875,350.34766151377545,4,8,4x8,27.5
903.21875,350.34766151377545,4,9,4x9,27.5
1003.21875,350.34766151377545,4,10,4x10,27.5
1103.2188,350.34766151377545,4,11,4x11,27.5
1203.2188,350.34766151377545,4,12,4x12,27.5
1303.2188,350.34766151377545,4,13,4x13,27.5
1403.2188,350.34766151377545,4,14,4x14,27.5
1603.2188,350.34766151377545,4,16,4x16,27.5
