x,y,row,col,spot_id,radius
1503.6719,697.210948027551,8,15,8x15,27.5
1803.6719,697.210948027551,8,18,8x18,27.5
153.67188,783.8134884059949,9,1,9x1,27.5
253.67188,783.8134884059949,9,2,9x2,27.5
353.67188,783.8134884059949,9,3,9x3,27.5
453.67188,783.8134884059949,9,4,9x4,27.5
553.6719,783.8134884059949,9,5,9x5,27.5
653.6719,783.8134884059949,9,6,9x6,27.5
753.6719,783.8134884059949,9,7,9x7,27.5
853.6719,783.8134884059949,9,8,9x8,27.5
953.6719,783.8134884059949,9,9,9x9,27.5
1053.6719,783.8134884059949,9,10,9x10,27.5
1153.6719,783.8134884059949,9,11,9x11,27.5
1253.6719,783.8134884059949,9,12,9x12,27.5
1453.6719,783.8134884059949,9,14,9x14,27.5
1653.6719,783.8134884059949,9,16,9x16,27.5
203.67188,870.4160287844388,10,2,10x2,27.5
303.67188,870.4160287844388,10,3,10x3,27.5
403.67188,870.4160287844388,10,4,10x4,27.5
503.67188,870.4160287844388,10,5,10x5,27.5
603.6719,870.4160287844388,10,6,10x6,27.5
703.6719,870.4160287844388,10,7,10x7,27.5
803.6719,870.4160287844388,10,8,10x8,27.5
903.6719,870.4160287844388,10,9,10x9,27.5
1003.6719,870.4160287844388,10,10,10x10,27.5
1103.6719,870.4160287844388,10,11,10x11,27.5
1203.6719,870.4160287844388,10,12,10x12,27.5
1403.6719,870.4160287844388,10,14,10x14,27.5
1603.6719,870.4160287844388,10,16,10x16,27.5
53.671875,957.0185691628827,11,0,11x0,27.5
153.67188,957.0185691628827,11,1,11x1,27.5
253.67188,957.0185691628827,11,2,11x2,27.5
353.67188,957.0185691628827,11,3,11x3,27.5
453.67188,957.0185691628827,11,4,11x4,27.5
553.6719,957.0185691628827,11,5,11x5,27.5
653.6719,957.0185691628827,11,6,11x6,27.5
753.6719,957.0185691628827,11,7,11x7,27.5
853.6719,957.0185691628827,11,8,11x8,27.5
953.6719,957.0185691628827,11,9,11x9,27.5
1053.6719,957.0185691628827,11,10,11x10,27.5
1153.6719,957.0185691628827,11,11,11x11,27.5
1253.6719,957.0185691628827,11,12,11x12,27.5
1453.6719,957.0185691628827,11,14,11x14,27.5
1553.6719,957.0185691628827,11,15,11x15,27.5
1753.6719,957.0185691628827,11,17,11x17,27.5
103.671875,1043.6211095413266,12,1,12x1,27.5
203.67188,1043.6211095413266,12,2,12x2,27.5
303.67188,1043.6211095413266,12,3,12x3,27.5
403.67188,1043.6211095413266,12,4,12x4,27.5
503.67188,1043.6211095413266,12,5,12x5,27.5
603.6719,1043.6211095413266,12,6,12x6,27.5
703.6719,1043.6211095413266,12,7,12x7,27.5
803.6719,1043.6211095413266,12,8,12x8,27.5
903.6719,1043.6211095413266,12,9,12x9,27.5
